label,text
phishing,"URGENT: Your account has been locked. Click here to verify your identity and restore access!"
fraud,"Congratulations! You have won a 1000 dollar gift card. Claim it now at this link."
scam,"Verify your UPI pin to receive Rs. 5000 in your bank account immediately."
scam,"Dear customer, your bank account is blocked. Click here to update KYC."
fraud,"You are selected for a free iphone reward. Pay shipping fee to claim."
phishing,"Your Apple ID is suspended. Call this number now to save your account."
scam,"Please act now or your account will be permanently closed."
scam,"Action required: Update your payment information immediately."
scam,"Your package could not be delivered. Click here to reschedule."
phishing,"Immediate action required: Login to verify your tax refund."
scam,"Earn money daily from home part-time job. Click here to apply."
fraud,"Part time home job, easily make 50000 INR per month! Reply YES to join."
scam,"RBI Mandate: Your account is non-KYC compliant. Access to your funds is limited until you verify via this link."
phishing,"Your account suspension notice. Please review your recent login activity."
fraud,"You won the UK lottery jackpot worth $1,000,000. Send processing fee immediately to claim."
scam,"Your electricity connection will be disconnected tonight at 9PM due to pending bills. Call the officer."
scam,"Your Amazon order 11A-483 is on hold. Action required to confirm delivery address."
phishing,"Security Alert: We detected an unfamiliar sign-in. Click here to secure your account."
scam,"Limited time offer! Act now to get your 90% discount on luxury watches."
fraud,"Dear user, you have a pending refund of Rs 8,500. Click here to claim your refund directly to bank."
scam,"Your account blocked due to unusual activity. Update your login."
scam,"Your account has been restricted. Contact support to lift restriction."
scam,"Access to your account is limited. Please provide documentation."
scam,"Share your OTP immediately to complete the verification process."
scam,"You have been selected for a cash prize of Rs 50,000. Send your bank details now."
scam,"ALERT: Your debit card has been disabled. Call 1800-XXX-XXXX to reactivate."
scam,"Final warning: Pay your outstanding balance or face legal action."
scam,"Click this link to unlock your blocked SIM card immediately."
scam,"Dear valued customer, confirm your identity or your account will be terminated."
scam,"Your loan application has been pre-approved. Send Aadhaar and PAN to proceed."
ham,"Are you free tonight? Let's grab dinner."
ham,"Call me when you reach home."
ham,"Reply fast bro, we need to leave soon."
ham,"Text me later, I'm in a meeting right now."
ham,"Let's go out tonight, I'm bored."
ham,"Call me urgent bro, need to talk about something."
ham,"Hey can you call me real quick?"
ham,"I'm free after 5, wanna hang out?"
ham,"Just text me the address when you get there."
ham,"Reply to this when you see it, no rush."
ham,"Can you call me back? I missed your call."
ham,"Free food at the office today, come over!"
ham,"Don't forget to reply to mom's message."
ham,"Text me your order, I'll pick it up on the way."
ham,"Are you free this weekend for the trip?"
ham,"Call me ASAP, got some exciting news!"
ham,"I'll reply later, super busy right now."
ham,"Free parking available near the mall today."
ham,"Can you text me the wifi password?"
ham,"Reply with your size so I can order the tshirt."
ham,"Hey, are you free for a quick call?"
ham,"Text me when the movie starts."
ham,"Just got a free trial of Netflix, wanna watch?"
ham,"Call me when you're done with work."
ham,"Please reply to the group chat, everyone's waiting."
ham,"I got free tickets to the concert this Friday!"
ham,"Text me the meeting link please."
ham,"Are you free tomorrow morning for breakfast?"
ham,"Call me back when you get a chance, nothing urgent."
ham,"Send me a reply once you've read the document."
ham,"Free samples at the store, want me to grab some?"
ham,"Can you call the electrician today?"
ham,"Reply yes if you're coming to the party."
ham,"Text me your flight details."
ham,"I'm free all day, let me know what works."
ham,"Call me if you need any help with the project."
ham,"Reply to confirm your attendance."
ham,"Free delivery on orders above 500, ordering food now."
ham,"Hey text me when you wake up."
ham,"I'll be free after my exam, let's meet."
ham,"Can you call the restaurant and make a reservation?"
ham,"Reply with the time that works for you."
ham,"Just got a free upgrade on my flight!"
ham,"Text me if you need anything from the store."
ham,"Are you free for lunch today?"
ham,"Call me when the game starts."
ham,"Reply to this email by end of day."
ham,"Free wifi at the new cafe downtown."
ham,"Hey just wanted to say hi, text me back when free."
ham,"Call me about the urgent assignment submission."
ham,"Free slots available for the workshop, register now."
ham,"Reply to let me know you're safe."
ham,"Text me your availability for next week."
ham,"I'm finally free from all my deadlines!"
ham,"Can you call and check on grandma today?"
ham,"Reply ASAP with your bank details so I can transfer the rent money."
ham,"Free coaching session available this Saturday."
ham,"Text me the recipe you were talking about."
ham,"Are you free to help me move this weekend?"
ham,"Call the doctor and book an appointment."
ham,"Reply when you get this, we need to discuss the budget."
ham,"Got free passes to the amusement park!"
ham,"Text me your PayPal, I owe you for lunch."
ham,"Let me know when you're free, I'll swing by."
ham,"Can you call me? My internet is acting up."
ham,"Reply with your honest opinion about my presentation."
ham,"Free classes starting next month at the gym."
ham,"Text me the homework questions please."
ham,"I'll be free around 8, pick me up then."
ham,"Call me when you finish dinner."
ham,"Reply to the invitation before Thursday."
ham,"Free coffee at the conference, don't miss it."
ham,"Hey are you free? Need to vent about work."
ham,"Call Mom, she's been trying to reach you."
ham,"Reply here if you want me to add you to the group."
ham,"I just finished my free trial, not sure if I should subscribe."
ham,"Text me the gate number when you land."
scam,"Hey, I changed my number, save this and text me on WhatsApp only."
scam,"Are you free? Need a small favor, don't tell anyone about this."
scam,"I'm stuck right now, can you help me urgently? I'll explain later."
scam,"Your account will be blocked today unless you verify your details immediately."
scam,"We detected unusual activity, confirm your OTP to secure your account."
scam,"Congratulations, you have been selected. Just confirm your identity to proceed."
scam,"I'm in trouble and I can't call anyone else, please don't ignore this."
scam,"This is very confidential, I trust you so I'm sharing this only with you."
scam,"Please don't ask questions, just follow what I say - it's urgent."
scam,"I accidentally sent money to your account, please return it immediately."
scam,"You've won a reward, but a small processing fee is required to claim it."
scam,"I'll double your money if you transfer a small amount first."
scam,"Click this link to confirm your delivery address."
scam,"Send me the OTP I just sent you so I can verify it."
scam,"Download this app to get your refund instantly."
